,Q2,x,xpi,xL,t,y,events per bin
cutx3_q40,36.060044140554965,0.04033616107981651,0.3487750738900656,0.8843490716526075,-0.04033616107981651,0.16534222352090225,1972.8814103573525
cutx7_q40,42.28083289251663,0.08100135283394239,0.7465705868093778,0.8915020839755846,-0.08100135283394239,0.09668106363375621,931.287439412312
cutx6_q50,51.95482553122565,0.031448493282922645,0.6477594014478385,0.9514503483660282,-0.031448493282922645,0.3061624299818244,89.64671676212238
cutx8_q50,47.32406016276218,0.1148348414517032,0.8464644810042556,0.8643359006446889,-0.1148348414517032,0.07640132162374082,339.3304669900515
cutx1_q60,55.06680643721484,0.013024476315819572,0.1529817323078114,0.9148625386878657,-0.013024476315819572,0.7818782717298345,125.72244609746147
cutx2_q60,64.09890243038535,0.01642612788679748,0.25268290669263693,0.934993118047442,-0.01642612788679748,0.7226012681153036,165.717013709407
cutx5_q60,63.96958272019401,0.014402260332637203,0.5544140076690527,0.9740225533023791,-0.014402260332637203,0.8223100849724819,34.687370169739886
cutx6_q60,57.235445813508704,0.09588085079175883,0.652145721709381,0.8529763401031913,-0.09588085079175883,0.11071076733513156,576.2233472208637
cutx8_q60,56.295576862292364,0.12098096693482044,0.8495656335923579,0.8575966798194782,-0.12098096693482044,0.08626247650740118,135.94517757839122
cutx2_q70,73.36339256772771,0.04294351426881238,0.25229255521404864,0.8297868352382476,-0.04294351426881238,0.31636016283290386,618.0611400459569
cutx8_q70,73.40014515607618,0.07565742374054361,0.8487240703399145,0.9108574548731218,-0.07565742374054361,0.17977851982978996,
